Household Income Percentile,2019,2018,Percentage Increase,Absolute Increase
58%,"$75,830.00","$76,822.24",-1.29%,-$992.24
59%,"$77,566.00","$78,442.63",-1.12%,-$876.63
60%,"$79,526.00","$80,463.24",-1.16%,-$937.24
61%,"$81,000.00","$81,981.58",-1.20%,-$981.58
62%,"$83,020.00","$83,978.88",-1.14%,-$958.88
63%,"$85,040.00","$85,967.91",-1.08%,-$927.91
64%,"$87,004.00","$87,672.15",-0.76%,-$668.15
65%,"$89,452.00","$90,063.26",-0.68%,-$611.26
66%,"$91,001.00","$92,171.95",-1.27%,"-$1,170.95"
67%,"$93,268.00","$93,954.67",-0.73%,-$686.67
68%,"$95,572.00","$96,293.51",-0.75%,-$721.51
69%,"$98,150.00","$98,609.15",-0.47%,-$459.15
70%,"$100,201.00","$101,208.07",-1.00%,"-$1,007.07"
71%,"$102,671.00","$102,745.79",-0.07%,-$74.79
72%,"$105,100.00","$105,377.89",-0.26%,-$277.89
73%,"$107,592.00","$108,051.66",-0.43%,-$459.66
74%,"$110,200.00","$111,220.81",-0.92%,"-$1,020.81"
75%,"$113,010.00","$113,842.59",-0.73%,-$832.59
76%,"$116,115.00","$117,135.34",-0.87%,"-$1,020.34"
77%,"$119,686.00","$120,151.25",-0.39%,-$465.25
78%,"$122,300.00","$123,108.13",-0.66%,-$808.13
79%,"$126,000.00","$127,022.49",-0.80%,"-$1,022.49"
80%,"$130,000.00","$130,212.74",-0.16%,-$212.74
81%,"$133,602.00","$133,691.72",-0.07%,-$89.72
82%,"$138,000.00","$138,204.01",-0.15%,-$204.01
83%,"$142,141.00","$142,496.72",-0.25%,-$355.72
84%,"$147,100.00","$146,879.52",0.15%,$220.48
85%,"$151,124.00","$151,993.59",-0.57%,-$869.59
86%,"$156,441.00","$156,017.40",0.27%,$423.60
87%,"$162,503.00","$161,681.35",0.51%,$821.65
88%,"$169,000.00","$168,306.38",0.41%,$693.62
89%,"$175,847.00","$175,210.23",0.36%,$636.77
90%,"$184,200.00","$183,107.76",0.60%,"$1,092.24"
91%,"$194,041.00","$191,460.71",1.35%,"$2,580.29"
92%,"$203,606.00","$201,022.26",1.29%,"$2,583.74"
93%,"$216,170.00","$211,185.84",2.36%,"$4,984.16"
94%,"$231,175.00","$224,513.74",2.97%,"$6,661.26"
95%,"$248,304.00","$242,064.42",2.58%,"$6,239.58"
96%,"$272,000.00","$263,534.71",3.21%,"$8,465.29"
97%,"$305,501.00","$296,284.84",3.11%,"$9,216.16"
98%,"$359,173.00","$341,405.05",5.20%,"$17,767.95"
99%,"$475,116.00","$444,939.38",6.78%,"$30,176.62"
